State,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016
Connecticut,29592.0,29261.0,29146.0,28601.0,27609.0,26712.0,26439.0,26597.0,26277.0,25536.0,26266.0,25961.0,25248.0,24540.0,25085.0,25570.0
Maine,11759.0,11800.0,11718.0,11343.0,11664.0,11835.0,11626.0,11561.0,11303.0,11044.0,10900.0,10816.0,10656.0,10367.0,10313.0,10262.0
Massachusetts,54041.0,54011.0,53838.0,53166.0,51497.0,50570.0,50619.0,50435.0,51434.0,51560.0,52278.0,51763.0,50617.0,50288.0,50373.0,50012.0
New Hampshire,9197.0,9175.0,9088.0,9021.0,8666.0,8578.0,8340.0,8266.0,8078.0,7942.0,8047.0,7674.0,7169.0,6971.0,6947.0,6731.0
New York,201724.0,202799.0,202482.0,198591.0,192989.0,186717.0,186904.0,186202.0,188062.0,186311.0,188600.0,186090.0,182439.0,180354.0,178008.0,174582.0
Rhode Island,13626.0,13710.0,13512.0,13222.0,12855.0,12797.0,12701.0,12667.0,12489.0,12248.0,12193.0,12159.0,12020.0,11772.0,11827.0,11469.0
Vermont,5140.0,5214.0,5087.0,5007.0,4868.0,4673.0,4737.0,4694.0,4761.0,4579.0,4502.0,4241.0,4207.0,4080.0,4046.0,3962.0
"Indian Township, ME",57.0,53.0,42.0,30.0,22.0,27.0,33.0,48.0,51.0,52.0,47.0,44.0,42.0,33.0,34.0,28.0
"Pleasant Point, ME",44.0,42.0,26.0,39.0,66.0,58.0,51.0,37.0,40.0,39.0,34.0,47.0,44.0,32.0,21.0,29.0
"Seneca Nation, NY",133.0,120.0,106.0,96.0,106.0,123.0,145.0,140.0,138.0,138.0,117.0,129.0,138.0,141.0,139.0,150.0
Delaware,13859.0,13578.0,13597.0,12885.0,12214.0,12393.0,12406.0,12519.0,10940.0,11663.0,11648.0,11662.0,10369.0,11530.0,11363.0,11253.0
District of Columbia,9537.0,9385.0,9549.0,9552.0,9051.0,8631.0,8667.0,8452.0,7916.0,7585.0,7563.0,7409.0,7286.0,7205.0,7255.0,7314.0
Maryland,69379.0,69013.0,69333.0,69060.0,66820.0,65564.0,65234.0,65439.0,64953.0,64665.0,65179.0,65359.0,63645.0,61870.0,61498.0,60674.0
New Jersey,69389.0,70315.0,70337.0,69139.0,66059.0,66393.0,67155.0,67355.0,66111.0,65245.0,65303.0,64129.0,62143.0,60698.0,60043.0,59443.0
Pennsylvania,156977.0,157483.0,155281.0,160976.0,150718.0,147199.0,146647.0,147350.0,157531.0,159483.0,159322.0,158591.0,157242.0,154102.0,151834.0,149791.0
Puerto Rico,88711.0,87611.0,86755.0,84926.0,81690.0,78706.0,78004.0,76619.0,70640.0,66878.0,65349.0,62369.0,59141.0,56234.0,54070.0,52686.0
Virginia,90632.0,89861.0,89500.0,88300.0,85668.0,84337.0,85138.0,86225.0,85010.0,83881.0,85408.0,85787.0,84684.0,82399.0,82502.0,82094.0
Virgin Islands,1213.0,1124.0,1199.0,1184.0,1077.0,1028.0,1053.0,1095.0,1014.0,987.0,1022.0,1061.0,1078.0,1089.0,1165.0,1136.0
West Virginia,28837.0,29412.0,29703.0,30091.0,29050.0,27190.0,24719.0,26613.0,26590.0,26396.0,26608.0,26804.0,26355.0,26506.0,26381.0,26114.0
Alabama,89708.0,88056.0,88534.0,88313.0,84338.0,84718.0,85169.0,87340.0,89929.0,90643.0,91363.0,92312.0,91491.0,90445.0,90093.0,89656.0
Florida,243402.0,242337.0,243552.0,242265.0,234484.0,241645.0,251269.0,255909.0,253742.0,251965.0,252081.0,249341.0,243687.0,239055.0,240032.0,238396.0
Georgia,157251.0,159599.0,159216.0,155194.0,146169.0,143600.0,137333.0,135081.0,133303.0,139436.0,140628.0,140218.0,136351.0,116559.0,118042.0,121177.0
Kentucky,80307.0,80045.0,80631.0,80822.0,78096.0,75483.0,76048.0,76255.0,75165.0,74287.0,74422.0,73814.0,72616.0,71894.0,71572.0,70865.0
